"a közeli viszontlátásra!","à bientôt!"
"akaszt; felakaszt; lóg; függ","pendre"
"inga; ingaóra","pendule f."
"félhomály","pénombre f."
"fogadó","pension f."
"lejtõ","pente f."
"kifúr; kilyukaszt; átjár","percer"
"béna; tehetetlen","perclus, -e"
"üt; ráüt","percuter"
"veszít","perdre"
"vesztegeti az idõt","perdre de temps"
"apa","père m."
"periféria","périphérique m."
"hántol; csiszol; gyöngyöz","perler"
"állandó","permanent, -e"
"engedélyez","permettre"
"engedély; szabadság","permisson f."
"megörökít","perpétuer"
"merõleges","perpendiculaire"
"meghökkent; megdöbbent; zavaros","perplexe"
"papagáj","perruche f."
"paróka; vendéghaj","perruque f."
"üldözés","persécution f."
"kitart; nem enged","persévérer"
"perzsa","persean, -e"
"kitartó","persévérant, -e"
"állhatatos; kitartó","persévérant, -e"
"kitart; megmarad","persister"
"kigúnyol","persifler"
"petrezselyem","persil m."
"óperzsa","persique"
"személy","personne f."
"éles eszû; éles látású","perspicace"
"meggyõz; elhitet vmit","persuader"
"zavar","perturbation f."
"mér","peser"
"pestis; dögvész","peste f."
"szirom","pétale m."
"fiúunoka","petit-fils m."
"lányunoka","petite-fille f."
"kicsi","petit, -e"
"reggeli","petit déjeuner m."
"zöldborsó","petit pois m."
"beadvány; folyamodvány","pétition f."
"zsömle","petit pain m."
"aprópénz","petite monnaie f."
"apróhírdetés","petite annonce f."
"kevés","peu"
"sekély","peu profond, -e"
"nép","peuple m."
"talán","peut-être"
"fényszóró","phare m."
"gyógyszertár","pharmacie f."
"fõnix","phénix m."
"jelenség; tünet; tünemény","phénomène m."
"fénykép","photo f."
"fényképezés","photographie f."
"fényképész","photographe m."
"mondat","phrase f."
"frígiai","phrygien, -enne"
"fizika","physique f."
"testalkat","physique m."
"zongora","piano m."
"csákány; hegycsúcs; harkály","pic m."
"pikárdiai","picard, -e"
"portyázik; szemezget","picorer"
"szálka; szilánk","picot m."
"szarka","pie f."
"darab; alkatrész; töredék","piêce f."
"színdarab","pièce de théâtre f."
"pénzérme","pièce de monnaie f."
"láb","pied m."
"csapda; kelepce; tõr","piège m."
"kõ","pierre f."
"Péter","Pierre"
"Peti","Pierrot"
"gyalogos","piéton m."
"ájtatos; jámbor; kegyeletes","pieux, -euse"
"orr","pif m."
"galamb","pigeon m."
"fosztogatás","pillage m."
"pilóta","pilote m."
"szárítócsipesz","pince à linge f."
"csíptet","pincer"
"ecset","pinceau m."
"pingvin","pingouin m."
"gyalog; bábu","pion m."
"szúr","piquer"
"piknik","pique-nique m."
"lándzsa","pique f."
"injekció","piqûre f."
"kalóz","pirate m."
"kalózkodás","piratage m."
"tõgy","pis m."
"uszoda","piscine f."
"vizel","pisser"
"táncparkett","piste de danse f."
"kifutópálya; nyom; lábnyom","piste f."
"dugattyú; protekció","piston m."
"szánakozás; sajnálat","pitié f."
"konyhaszekrény","placard m."
"hely; tér","place f."
"piactér","place du marché f."
"foglalt hely","place réservée f."
"strand","plage f."
"panasz(kodás)","plainte f."
"sík; lapos; sima; egyszerû","plain, -e"
"sajnál; szán","plaindre"
"alföld","plaine f."
"tetszik","plaire"
"öröm; gyönyör","plaisir m."
"padló","plancher m."
"szörf","planche à voile f."
"bolygó","planète f."
"ültet","planter"
"növény","plante f."
"rendszámtábla","plaque d´immatriculation f."
"beborít; felken; otthagy","plaquer"
"lapos","plat"
"fõétel","plat principal m."
"tál","plat m."
"tálca","plateau m."
"tele","plein, -e"
"élénk","plein, -e d´entrain"
"sír","pleurer"
"esik (esõ)","pleuvoir"
"összehajt; hajtogat; hajlik","plier"
"vízvezeték-szerelõ","plombier m."
"betöm egy fogat","plomber une dent"
"ólom","plomb m."
"fejest ugrik","plonger"
"ugródeszka","plongoir m."
"esõ","pluie f."
"toll","plume f."
"meg; több","plus"
"inkább","plutôt"
"autógumi","pneu m."
"zseb","poche f."
"õszibarack","pôche f."
"kályha","poêle m."
"költemény","poème m."
"vers; költészet","poésie f."
"költõ","poète m."
"súly","poids m."
"csukló","poignet m."
"szõr","poil m."
"ököl","poing m."
"pont","point m."
"csúcstechnológia","pointe du progrès f."
"hegy; csúcs; csattanó","pointe f."
"erõs/gyenge oldal","point fort/faible m."
"égtáj","point cardinal m."
"körte","poire f."
"borsó","pois m."
"hal","poisson m."
"halbolt","poissonnerie f."
"fazekas","poiter m."
"mell","poitrine f."
"bors","poivre m."
"sarki","polaire"
"krimi","polar m."
"Északi-sark","Pôle Nord m."
"Déli-sark","Pôle Sud m."
"udvarias","poli, -e"
"rendõrség","police f."
"csiszol; fényesít","polir"
"politika","politique f."
"burgonya","pomme de terre f."
"alma","pomme f."
"almafa","pommier m."
"tûzoltóautó","pompe à incendie f."
"fény; pompa","pompe f."
"szivattyú; pumpa","pompe f."
"tûzoltó","pompier m."
"pontos","ponctuel, -elle"
"tojik","pondre"
"híd; fedélzet","pont m."
"népszerû","populaire"
"kikötõ","port m."
"hord","porter"
"kapu; ajtó","porte f."
"bejárati kapu","porte d´entrée f."
"irattárca; pénztárca","portefeuille m."
"pénztárca","portemonnaie m."
"portás; hordár","porteur m."
"megfilmesít","porter à l´écran"
"kérdez vmit","poser une question"
"bír; hatalmában van","posséder"
"aranyhal","possion rouge m."
"posta","poste f."
"postakocsis","postillon m."
"kancsó","pot m."
"iható","potable"
"leves","potage m."
"kálium","potassium m."
"cimbora","pote m."
"útjelzõ tábla","poteau indicateur m."
"szemetes","poubelle f."
"hüvelykujj","pouce m."
"puding","pouding m."
"por","poudre f."
"tyúkól; kakasülõ","poulailler m."
"csirke","poulet m."
"tyúk","poule f."
"felvonócsiga","poulie f."
"pulzus","pouls m."
"tüdõ","poumon m."
"baba; bábu","poupée f."
"-ért; -nak; -nek","pour"
"azért, hogy","pour que"
"bármily kevéssé; hacsak","pour peu que"
"borravaló","pourboire m."
"bíbor","pourpre"
"tárgyalás; megbeszélés","pourparlers m."
"miért","pourquoi"
"rothadás; romlottság","pourriture f."
"üldöz; zaklat; folytat","poursuivre"
"üldözés; keresés; zaklatás","poursuite f."
"mégis","pourtant"
"feltéve, hogy","pourvu que"
"tol; nyom; hajt; növeszt","pousser"
"babakocsi","poussette f."
"tud; képes","pouvoir"
"tehetség; hatalom","pouvoir m."
"rét","prairie f."
"gyakorlat","pratique f."
"elõszó; bevezetés","préambule m."
"óvintézkedés","précaution f."
"megelõz; elõtte jár","précéder"
"elv; szabály; utasítás","précepte m."
"elõzõ","précedent, -e"
"pontosít","préciser"
"ledob; sürget; elsiet","précipiter"
"megjósol; jövendöl","prédire"
"elõszó; bevezetés","préface f."
"elõnyben részesít; preferál","préférer"
"kedvezés; preferencia","préférence f."
"kár; hátrány","préjudice m."
"bevezetés","préliminaire m."
"elõjáték; preludium","prélude m."
"miniszterelnök","premier ministre m."
"felszerel vkit vmi ellen","prémunir q contre qc"
"fog; megfog; felvesz; szerez","prendre"
"zuhanyozik","prendre une douche"
"fürdik","prendre un bain"
"lefényképez","prendre une photo"
"buszra száll","prendre l´autobus"
"eléri a vonatot","prendre le train"
"visszavonul; nyugdíjba vonul","prendre sa retraite"
"helyet foglal","prendre place"
"döntést hoz","prendre une décision"
"keresztnév","prénom m."
"igyekvés; aggodalom; elfogultság","préoccupation f."
"elkészít; elrendez","préparer"
"elöljáró","préposition f."
"közel","près de"
"bemutat","présenter"
"jelen","présent m."
"jókívánságait fejezi ki vkinek","presenter ses meilleurs voeux à q"
"elnök","président m."
"majdnem; szinte","presque"
"szorít; nyom","presser"
"nyomdász","pressier m."
"prés; sajtó; nyomda","presse f."
"kölcsön ad","prêter"
"ürügy; kifogás","prétexte m."
"igényel; követel; óhajt","prétendre"
"pap","prêtre m."
"bizonyíték; próba","preuve f."
"megelõz; megakadályoz; értesít","prévenir"
"elõre lát","prévoir"
"kér; imádkozik; meghív","prier"
"kérés; ima","prière f."
"kezdet; eredet; elv","principe m."
"tavasz","printemps m."
"elsõbbség","priorité f."
"börtön; fegyház","prison f."
"privilégium","privilège m."
"ár; érték; díj","prix m."
"viteldíj","prix de la course m."
"valószínû","probable"
"bizonyítható","probant, -e"
"probléma","problème m."
"ered; szàrmazik","procèder"
"eljárás","procédure f."
"folyamat","processus m."
"per; folyamat","procès m."
"következõ","prochain, -e"
"közeli","proche"
"kikiált; hangoztat","proclamer"
"csoda","prodige m."
"termék; áru","produit m."
"termelés; bemutatás","production f."
"producer","producteur m."
"termel; készít","produire"
"tanár","professeur m."
"nyilvánosan vall; hirdet","professer"
"osztályfönõk","professeur principal m."
"mély","profond, -e"
"program; terv; mûsor","programme m."
"programozó","programmeur m."
"programozás","programmation f."
"fejlõdés; haladás","progrès m."
"fejlõdik","progresser"
"reflektor","projecteur m."
"vetít","projeter"
"meghosszabbít","prolonger"
"megígér","promettre"
"sétáltat","promener"
"ígéret","promesse f."
"séta","promenade f."
"elõléptetés; haladás","promotion f."
"gyors; hirtelen","prompt, -e"
"kiejt; kimond","prononcer"
"névmás","pronom m."
"szaporít; terjeszt","propager"
"kedvezõ vmihez","propice à qc"
"ajánlat; állítás; mondat","proposition f."
"arány","proportion f."
"elhatározás; szándék","propos m."
"sajátos; saját; tiszta; rendes","propre"
"tulajdonos(nõ)","propriétaire f. m."
"tulajdon; vagyon; tulajdonság","propriété f."
"próza","prose f."
"boldogul; virágzik","prospèrer"
"véd(elmez); támogat","protéger"
"tiltakozik","protester"
"hõstett; vitézség; bravúr","prouesse f."
"közmondás","proverbe m."
"eredet; származás","provenance f."
"ideiglenes","provisoire"
"készlet; elõleg","provision f."
"gondviselés","providence f."
"provicia; tartomány; vidék","province f."
"szilva","prune f."
"kihírdetés; kiadás","publication f."
"szemérmetes","pudibond, -e"
"bûzlik","puer"
"az(u)tán","puis"
"hiszen","puisque"
"hatalom; képesség; erõ","puissance f."
"hatalmas; nagyerejû","puissant, -e"
"kút; tárna","puits m."
"pulóver","pullover m."
"büntet","punir"
"testi fenyítés","punition corporelle f."
"tiszta","pur, -e"
"szajha","putain f."
"görény","putois m."
"pizsama","pyjama m."
"peron; rakpart","quai m."
"tulajdonság; minõség","qualité f."
"szakképzettség","qualification f."
"mikor; amikor","quand"
"mégis","quand même"
"ami azt illeti, hogy","quant à"
"negyven","quarante"
"városnegyed","quartier m."
"negyed","quart m."
"tizennégy","quatorze"
"négy","quatre"
"nyolcvan","quatre-vingts"
"nyolcvanegy","quatre-vingt-un"
"kilencven","quatre-vingt-dix"
"kilencvenegy","quatre-vingt-onze"
"milyen; micsoda","quel, quelle"
"valamilyen; akármilyen","quelconque"
"Hány óra van?","Quelle heure est-il?"
"valami; valaki","quelque"
"veszekedés; vita","querelle f."
"kérdõív","questionnaire m."
"keresés; kutatás","quête f."
"farok; szár; sor","queue f."
"aki; amely; ami","qui"
"tizenöt","quinze"
"elhagy; elmegy","quitter"
"mi?; micsoda?; mit?","quoi"
"bár; noha","quoique"
"mindennapi","quotidien, -enne"
"mi ez?; mi az?","qu´est-ce que c´est?"
"megfoltoz","raccomoder"
"letesz","raccrocher"
"gyökér; gyök","racine f."
"elmond; elmesél","raconter"
"tutaj","radeau m."
"fûtõtest","radiateur m."
"rádió","radio f."
"veszettség; düh; harag","rage f."
"rajtaütés","raid m."
"merev; hajthatatlan","raide"
"szõlõ","raisin m."
"ész; értelem; igazság","raison f."
"lassít","ralentir"
"felvesz","ramasser"
"evezõ","rame f."
"evez","ramer"
"kúszó; csúszó; talpnyaló","rampant, -e"
"neheztelés; harag","rancoeur f."
"váltságdíj","rançon f."
"sor; rend","rang m."
"rendez; besorol","ranger"
"újra hív; visszahív","rapeller"
"gyors; sebes","rapide"
"gyorsvonat","rapide m."
"visszahív","rappeler"
"visszavitel; beszámoló","rapport m."
"ütõ","raquette f."
"borotválkozás","rasage m."
"borotva","rasoir m."
"újra megerõsít; megnyugtat","rassurer"
"gereblye","râteau m."
"megbukik","rater l´examen"
"megfog; utolér; visszaszerez","rattraper"
"elragadtatott; boldog","ravi, -e"
"vízmosás","ravin m."
"hegyi patak; vízmosás","ravine f."
"élelmez","ravitailler"
"sugár; körzet; polc; részleg","rayon m."
"rendezõ","réalisateur m."
"hátraugrik; visszapattan","rebondir"
"szél; szegély; perem","rebord m."
"ismétel; röviden összefoglal","récapituler"
"vevõ; felfogó","récepteur, -trice"
"recepció","réception f."
"tartály; gyülekezõhely","réceptacle m."
"recept","recette f."
"kap; fogad vkit","recevoir"
"jó/rossz jegyet kap","recevoir une bonne/mauvaise note"
"kemingfõzõ","réchaud m."
"újra keres; keres; kutat","rechercher"
"kutatás","recherche f."
"szirt; sziklás tengerpart","récif m."
"elbeszélés; tudosítás","récit m."
"reklám; hírdetés; végszó","réclame f."
"felismerés; beismerés","reconnaissance f."
"csúcs","record"
"folyamodás; panasz","recours m."
"szünet","récréation f."
"toboroz","recruter"
"újonc","recrue f."
"téglalap","rectangle m."
"számla","reçu m."
"összeszed; összegyûjt","recueillir"
"gyûjtemény","recueil m."
"hátrál; visszafelé megy","reculer"
"szerkesztõ","redacteur, -trice"
"megszerkeszt; megfogalmaz","rédiger"
"osztályt ismétel","redoubler la classe"
"csökkentés; árengedmény","réduction f."
"világos; reális","réel, réelle"
"helyreállítás; rendbehozás; pihenés","réfection f."
"vmit vminek tulajdonít; jelentést tesz","réferer"
"vonatkozás; utalás","référence f."
"vissszaver; elmélkedik","réfléchir"
"visszaver; tükröz","reflétér"
"reform","réforme f."
"elfojt","refouler"
"refrén","refrain m."
"hûtõszekrény","réfrégéateur m."
"menedékhely","refuge m."
"menekült","réfugié, -e"
"visszautasít; megtagad","refuser"
"cáfol","réfuter"
"megcáfolható","réfutable"
"lakoma; kedvenc étel; élvezet","régal m."
"néz","regarder"
"uralom; szervezet; életmód; államforma","régime m."
"ezred","régiment m."
"vidék; tájék","région f."
"beállítás; szabályozás","réglage m."
"vonalzó","règle f."
"vonalaz; szabályoz","régler"
"sajnálkozik; bán","regretter"
"visszafejlõdés; csökkenés","régression f."
"bánat; fájdalom; sajnálat","regret m."
"vese","rein m."
"királynõ; királyné","reine f."
"szünet; pihenés","relâche m."
"meglazít; ernyeszt","relâcher"
"pihenõállomás; felváltás; relé","relais m."
"szabadonbocsátás","relaxe f."
"felvált; levált; lovat vált","relayer"
"felemel; felállít","relever"
"dombormû; domborzat","relief m."
"vallási; egyházi; templomi","religieux, -euse"
"újra megjelöl; észrevesz; megjegyez","remarquer"
"visszafizetés","remboursement m."
"orvosság; gyógyszer","remède m."
"megköszön vkinek vmit","remercier q de qc"
"visszatesz; átad; helyretesz","remettre"
"visszahelyezés; átadás","remise f."
"újra felvisz; összeállít; erõsít","remonter"
"tölt; újra megtölt; telerak","remplir"
"helyettesít; pótol","remplacer"
"visszavisz; elnyer","remporter"
"mozgat; piszkál","remuer"
"csóválja a farkát","remuer la queue"
"róka","renard m."
"találkozik vkivel","rencontrer q, qc"
"visszad; visszafizet; hoz; tesz vmilyenné","rendre"
"kantár; gyeplõ","rêne f."
"megerõsít; növel","renforcer"
"lemond vmirõl","renoncer à qc"
"megújít; felújít","rénover"
"felborít","renverser"
"elbocsát vkit","renvoyer q"
"kiönt; áraszt","répandre"
"javít","réparer"
"szerelõ","réparateur m."
"vasal","repasser"
"tárgymutató; katalógus; mûsor","répertoire m."
"ismétlés; próba","répétition f."
"válaszol; felel; felesel; garantál","répondre"
"felelet; válasz","réponse f."
"megfelel a követelményeknek","répondre aux exigences"
"tudósítás; riport","reportage m."
"kereskedelmi képviselõ","représentant de commerce m."
"szemrehányás","reproche m."
"hüllõ","reptile m."
"hírnév","réputation f."
"hálózat; szervezet","réseau m."
"lefoglal egy helyet","réserver une place"
"elszánt; határozott","résolu, -e"
"elhatároz; megfejt; megold","résoudre"
"tisztelet","respect m."
"tisztelettudó","respectueux, -euse"
"lélegzés","respiration f."
"beszív; magába szív","respirer"
"érez vmit","ressentir de qc"
"erõforrás; pénz; segédeszköz","ressource f."
"étterem","restaurant m."
"marad","rester"
"szállodában lakik","rester à l´hôtel"
"maradèk","reste m."
"lemarad","rester en arrière"
"feltámadás","résurrection f."
"késés; lemaradás","retard m."
"visszatart","retenir"
"pénzt vesz fel","retirer de l´argent"
"visszahúz; újra húz","retirer"
"újra fordít; visszafordít","retourner"
"öszetûz; összeköt; egyesít","réunir"
"összejövetel","réunion f."
"sikerrel jár; boldogul; megold","réussir"
"viszonzás; visszavágó","revanche f."
"elábrándozik; összeálmodik","rêvasser"
"álom","rêve m."
"ébredés; kijózanodás; ébresztõ; ébresztõóra","réveil m."
"szilveszter","Réveillon m."
"felfed; megmutat","révéler"
"álmodik","rêver"
"utcai lámpa","réverbère m."
"felruház; jelleget ölt","revêtir"
"megtanulja a leckét","réviser la leçon"
"forradalom; körforgás","révolution f."
"felkelés; lázadás","révolte f."
"szemle; folyóirat; revü","revue f."
"földszint","rez-de-chaussée m."
"nátha","rhume de cerveau m."
"hûlés; hurut","rhume m."
"feslett; ribanc","ribaud, -e"
"visszapattanás; geller","ricochet m."
"függöny","rideau m."
"semmi","rien"
"nincs elvámolnivalója","rien à déclarer"
"nevet; mulat; tréfál","rigoler"
"mulatságos; nevetséges","rigolo, rigolote"
"szigorú; rideg; zord","rigoureux, -euse"
"rím","rime f."
"visszavág; választ ad","riposter"
"nevet","rire"
"ritus; szokás","rit, rite m."
"part","rive f."
"parti; partmenti lakos","riverain, -e"
"folyó","rivière m."
"rízs","riz m."
"ruha","robe f."
"csap","robinet m."
"erõs; izmos; robusztus","robuste"
"szikla","roc m."
"szikla","rocher m."
"szerep(lõ)","rôle m."
"római","romain, -e"
"regény","roman m."
"regényes","romancé, -e"
"kerek; gömbölyû","rond, -e"
"horkol","ronfler"
"dorombol","ronronner"
"rózsa; rózsaszín","rose f."
"nád","roseau m."
"kerék","roue f."
"ajakrúzs","rouge à lèvres m."
"piros","rouge"
"autóút","route f."
"teherautó-sofõr","routier m."
"királyi","royal, -e"
"királyság","royaume m."
"rovat; hasáb; rubrika","rubrique f."
"utca","rue f."
"patak","ruisseau m."
"törés; szakadás","rupture f."
"falusi; vidéki","rural, -e"
"ritmus","rythme m."
"homok","sable m."
"facipõ; pata","sabot m."
"bevásárlószatyor","sac à provision m."
"kézitáska","sac à main m."
"hátizsák","sac à dos m."
"hálózsák","sac de couchage m."
"szatyor","sac m."
"zacskó","sachet m."
"bölcs; okos","sage"
"nyíl","sagette f."
"eret vág; vérzik","saigner"
"egészséges","sain, -e"
"szent","saint, -e"
"megfog; ragad; felfog","saisir"
"lefoglalás; kezelés","saisie f."
"évszak","saison f."
"saláta","salade f."
"bér; díj","salaire m."
"piszkos","sale"
"bepiszkol","salir"
"fürdõszoba","salle de bain f."
"ebédlõ","salle à manger f."
"váróterem","salle d´attente f."
"mûtõterem","salle d´opération f."
"osztályterem","salle de classe f."
"nappali","salon m."
"munkanadrág; overall","salopette f."
"piszkos","salope f. m."
"üdvözöl; köszönt","saluer"
"szombat","samedi m."
"megbüntet","sanctionner"
"saru; szandál","sandale f."
"vér","sang m."
"hidegvér","sang-froid m."
"vaddisznó","sanglier m."
"nélkül","sans"
"értelmetlenül","sans rime ni raison"
"anélkül, hogy","sans que"
"egészség","santé f."
"fenyõ","sapin m."
"karácsonyfa","sapin de Noël m."
"szita; rosta; zsilipkamra","sas m."
"jóllakottság; csömör","satiéte f."
"elégtétel; elégedettség","satisfaction f."
"mártás; szósz","sauce f."
"felvágott","saucisson m."
"kolbász","saucisse m."
"ép; megmenekült; kivéve","sauf, sauve"
"szomorúfûz","saule pleureur m."
"lazac","saumon m."
"ugrik; felpattan","sauter"
"vad","sauvage"
"ment; megvált","sauver"
"kiment; megvéd; oltalmaz","sauvegarder"
"tud","savoir"
"szappan","savon m."
"Skandinávia","Scandinavie f."
"botrány","scandale m."
"szkenner","scanner m."
"pecsét","sceau m."
"pecsét (zároláskor)","scellé m."
"forgatókönyv","scénario m."
"forgatókönyv-író","scénariste m."
"színpad","scène f."
"fûrész","scie f."
"tudós","scientifique m."
"reál tárgyak","sciences f. pl."
"kétely; aggály; skrupulus","scrupule m."
"farag","sculpter"
"szobor; szobrászat","sculpture f."
"fürdik","se baigner"
"lehajol; meghajol","se baisser"
"lebarnul","se bronzer"
"rákapcsolódik","se brancher sur qc"
"elbújik","se cacher"
"veszekszenek","se chamailler"
"lefekszik","se coucher"
"viselkedik","se comporter"
"levetkõzik","se déshabiller"
"siet","se dépêcher"
"kitér; eltûnik","se dérober"
"elterjed; lefolyik; letekeredik","se dérouler"
"vitatkozik","se disputer"
"sejt; gyanít vmit","se douter de qc"
"belopakodik; átsurran","se faufiler"
"bízik vmiben","se fier à q, qc"
"eljegyzi magát","se fiancer"
"csatlakozik","se joindre"
"mosakszik","se laver"
"felkel","se lever"
"szépítkezik","se maquiller"
"házasodik; megházasodik","se marier"
"nevet; mulat","se marrer"
"kényelembe helyezkedik","se mettre à l´aise"
"felvesz","se mettre"
"méregbe gurul","se mettre en colère"
"gyanakszik","se mefier de qc, q"
"kigúnyol","se moquer"
"történik","se passer"
"gubbaszt","se percher"
"lehajol","se pencher"
"vedlik; hámlik","se peler"
"panaszkodik vmire","se plaindre de qc"
"vminek tartja/mondja magát","se prétendre"
"borotválkozik","se raser"
"felébred","se réveiller"
"pihen","se reposer"
"hasonlít vkire","se ressembler à q"
"visszafordul","se retourner"
"feláll; felkel; helyreáll","se relever"
"örül; mulat; örvend","se réjouir"
"megy (vhová); vmivé teszi magát","se rendre"
"érez","se sentir"
"túlterheli magát","se surmener"
"csalódik; téved","se tromper"
"ülés; elõadás","séance f."
"vödör","seau m."
"száraz","sec, sèche"
"szárít","sécher"
"lóg az iskolából","sécher les cours"
"hajszárító","sèche-cheveux m."
"ruhaszárító","sèche-linge m."
"másodperc","seconde f."
"segít","secourir"
"segítség","secours m."
"titkár","secrétaire f. m."
"titkos","secret, secrète"
"titok","secret m."
"szekta","secte n."
"mell; kebel; méh","sein m."
"tizenhat","seize"
"tartózkodik; idõzik","séjourner"
"só","sel m."
"választ","sélectionner"
"szerint; képest","selon"
"hét","semaine f."
"hasonló","semblable"
"vet","semer"
"Szenegál","Sénégal m."
"egyirányú","sens unique"
"behajtani tilos","sens interdit"
"érzékeny","sensible"
"ösvény","sentier m."
"érzelmes","sentimental, -e"
"õrszem","sentinelle f."
"hét","sept"
"szeptember","septembre m."
"kígyó","serpent m."
"kezet fog vkivel","serrer la main à"
"melegház","serre f."
"szûk","serré, -e"
"megszorít","serrer"
"zár; lakat","serrure f."
"szalvéta; törülközõ","serviette f."
"felszolgál; adogat","servir"
"egyedül","seul, -e"
"szigorú","sévère"
"nem","sexe m."
"sampon","shampooing m."
"ha; olyan; annyira; de igen","si"
"Szicília","Sicile f."
"AIDS","SIDA m."
"század","siècle m."
"szék(hely); ülés; ostrom","siège m."
"súg","siffler"
"jel(zés)","signal m."
"aláírás","signature f."
"aláír","signer"
"jelent","signifier"
"csend(esség)","silence m."
"barázda","sillon m."
"színlelt ábrázat; fintor","simagrée f."
"számum","simoun m."
"egyszerû","simple"
"õszinte","sincère"
"majom","singe m."
"szörp","sirop m."
"helyzet; állapot","situation f."
"hat","six"
"sielés","ski m."
"vízisí","ski nautique m."
"síléc","skis m."
"bugyi","slip m."
"társadalom","société f."
"lánytestvér; nõvér","soeur f."
"selyem","soie f."
"szomjùsàg","soif f."
"óvatos; gondos","soigneux, -euse"
"gond","soin m."
"este","soir m."
"hatvan","soixante"
"hetven","soixante-dix"
"hetvenegy","soixante et onze"
"talaj; föld","sol m."
"katona","soldat m."
"kiárusítás","solde m."
"kifizet; olcsón elad","solder"
"zsold","solde f."
"nyelvhal","sole f."
"ünnepélyes","solennel -elle"
"szilárd; masszív","solide"
"magányosság","solitude f."
"magányos","solitaire"
"kér; sürget; ösztönöz","solliciter"
"megoldás","solution f."
"sötét; komor","sombre"
"összefoglalás; kivonat","sommaire m."
"álom; alvás","sommeil m."
"csúcs","sommet m."
"összeg; summa; teher","somme f."
"alvás","somme m."
"hang","son m."
"szondázás; közvélemény-kutatás","sondage f."
"álom; ábránd","songe m."
"csengõ","sonnette f."
"cseng(et)","sonner"
"boszorkány","sorcier, -ière"
"piszkos; rút","sordide"
"fajta; féle","sorte f."
"kijárat","sortie f."
"kimegy; elmegy","sortir"
"ostoba; buta","sot, sotte"
"öt szantim; garas","sou m."
"gond","souci m."
"csészealj","soucoupe f."
"hirtelen","soudain, -e"
"fúj; lélegzik","souffler"
"szenved","souffrir"
"kívánság","souhait m."
"megkönnyebbülés","soulagement m."
"aláhúz","souligner"
"alávet; meghódít; megfékez","soumettre"
"gyanú","soupçon m."
"leves","soupe f."
"sóhajt(tás); lehelet","soupir m."
"sóhajt(ozik)","soupirer"
"rugalmas; hajlékony; simulékony","souple"
"szemöldök","sourcil m."
"forrás","source f."
"süket","sourd, -e"
"mosolyog","sourir"
"egér","souris f."
"alá; alatt","sous"
"pince; alagsor","sous-sol m."
"alcím","sous-titre m."
"kivon","soustraire"
"tart; támogat; kibír","soutenir"
"kitartó; támogatott","soutenu, -e"
"gyakran","souvent"
"sebtapasz","sparadrap m."
"nézõ","spectateur m."
"látvány","spectacle m."
"gömb","sphère f."
"fényes; ragyogó; pompás","splendide"
"sport","sport m."
"sportoló","sportsman m."
"kísérleti stádium","stade expérimental m."
"stadion; fokozat","stade m."
"gyakorlat; tanfolyam","stage m."
"gyakornok; jelölt","stagiaire m."
"szabvány; típus","standard m."
"metróállomás","station de métro f."
"taxiállomás","station de taxis f."
"benzinkút","station-service f."
"állás; helyzet; állomás","station f."
"szobor","statue f."
"felhalmoz; elraktároz; tárol","stocker"
"tárolás","stockage m."
"sztoikus","stoique"
"görfüggöny","store m."
"csapószék; pótszék","strapontin m."
"szigorú; pontos","strict"
"szerkezet; rendszer; összetétel","structure f."
"dolgozószoba; stúdió","studio m."
"elképedt; megdermedt","stupéfait, -e"
"stílus","style m."
"toll; töltõtoll","stylo m."
"golyóstoll","stylo-bille m."
"elszenved; kiáll; átesik","subir"
"kötõmód","subjonctif m."
"apró; finom","subtil, -e"
"lé; nedv","suc m."
"eredmény; siker","succès m."
"összeroskad; elbukik; meghal","succomber"
"édes","sucré, -e"
"cukor","sucre m."
"dél","sud m."
"izzad; verejtékezik","suer"
"elég; eleget tesz","suffire"
"fojtogat; megfojt","suffoquer"
"szavazat","suffrage m."
"sugalmaz; ajánl","suggérer"
"faggyú","suif m."
"Svájc","Suisse f."
"kíséret; sor(ozat); folytatás","suite f."
"következõ","suivant, -e"
"követ","suivre"
"elõadásra jár","suivre un cours"
"ok; alap; alkalom; alany; téma; alattvaló","sujet m."
"szupermarket","supermarché m."
"babona","superstition f."
"felszíni; felszínes","superficiel, -elle"
"fölösleges; haszontalan","superflu, -e"
"helyettesít; pótol; kitúr","supplanter"
"rosszul viseli a kritikát","supporter mal les critiques"
"kivon; töröl","supprimer"
"-ra; -re; -on; -en; -ön","sur"
"biztos","sûr, -e"
"melléknév; ragadványnév","surnom m."
"meglepetés; ámulat","surprise f."
"vigyáz vkire","surveiller"
"melegítõruha","survêtement m."
"felügyelés; felügyelet","surveillance f."
"érzékeny","susceptible"
"támaszt; kelt; elõidéz","susciter"
"gyanús; kétes","suspect, -e"
"gyanú","suspicion f."
"susog; suttog","susurrer"
"rokonszenves","sympathique"
"szakszervezet","syndicat m."
"mondattan; szintakszis","syntaxe f."
"rendszer; idegek; processzor","système m."
"tartózkodik vmitõl","s´abstenir"
"csimpaszkodik","s´accrocher"
"növekszik","s´accroitre"
"könyököl","s´accouder"
"letèrdel","s´agenouiller"
"vmirõl van szó","s´agir"
"lefekszik","s´allonger"
"szórakozik; mulat","s´amuser"
"támaszkodik vmire","s´appuyer sur"
"közelít vmihez","s´approcher de"
"leül","s´asseoir"
"megokosodik","s´assagir"
"megszökik; elfut","s´échapper"
